condition	w_0_bin	w_1_bin	w_10_cont	w_11_cont	w_20_cont	w_21_cont
method	-11.396664470367652	9.16655388312111				
p_h			-0.0013861720321680937	-0.05314506738712448		
temp			-0.0027106618427590913	-0.07502294664643121		
2-mercaptoethanol (m)	2.6192861103146816	3.9044223258669932	-3.44783852585986e-05	-0.008390556392346194		
acetate (m)	1.2732276298163199	4.035260400194303	-0.0002789353657317122	-0.024146412219286612		
adenosine triphosphate (m)	2.6379857145960997	4.027350441326951	-0.0004554200348264806	-0.004222541424401663		
adp (m)	0.6581237739936788	3.51882938776155	-0.003985642563656033	-0.013485903319488535		
ammonium acetate (m)	2.6234312231083248	4.546827057208535	-8.16683872020954e-05	-0.01297301172355093		
ammonium chloride (m)	0.7890057385292703	3.6630851407869	-3.4284262926933954e-05	-0.0038308998621588886		
ammonium citrate (m)	3.366325112028426	4.269467725924957	-2.2496391761433514e-05	-0.006705297404791282		
ammonium formate (m)	0.8980655669963513	3.169572909651095	-0.001983023308410381	-0.014221197097842506		
ammonium iodide (m)	-1.1278261884855525	1.2297009621662212	-0.019027165610985518	-0.09627027623967778		
ammonium nitrate (m)	2.5097594840410697	4.105739342836274	-0.0013061174441304688	-0.0076082183132223325		
ammonium phosphate (m)	2.8908986088624147	4.203086032607147	-4.9801543748532724e-05	-0.009694207213903851		
ammonium sulfate (m)	3.776310765270732	4.607880014895464	-4.211636828549486e-05	-0.00896510616111821		
ammonium tartrate (m)	2.5903995279653373	3.977622693582484	-0.0071286075816146535	-0.02321418029904134		
azodicarbonamide (m)	-1.6325592378557796	2.2076408249930872	-0.0009274267721096716	-0.02553305740954533		
bicine (m)	2.133845905402331	3.986160137087741	-0.0009067263055870907	-0.04304968132626599		
bis tris (m)	4.09434630578285	4.653084727056197	-0.0001279281617859871	-0.015580020361328205		
bis tris propane (m)	3.2758218288720498	4.346530668881243	-0.00020066580376483086	-0.0198372882646279		
cacodylate (m)	2.798465182997383	3.9132066373146484	-0.0012470828641454954	-0.05047104946727405		
cadmium chloride (m)	2.236139161402681	3.9712090244450424	-6.881363352818124e-05	-0.004281810888438007		
calcium acetate (m)	3.3305822551863713	4.411899879729602	-0.00023759382386387784	-0.02158542095347381		
calcium chloride (m)	3.4671803282941935	4.387995599390681	-2.799272166627047e-05	-0.007607991799251395		
caps (m)	1.7415488728787782	3.6014852094015604	-0.017721505880167507	-0.0770672272211775		
ches (m)	2.6097423393602206	4.210532016138694	-0.0012166930503272624	-0.04929179369308439		
citrate (m)	3.0039709864296387	3.8921071300169183	-0.0003340582758094855	-0.02611974532687437		
citric acid (m)	2.5643527662410017	4.054259413279569	-0.00045449753742986455	-0.030167966781419243		
cobalt chloride (m)	1.8341325587830546	3.5915143074376177	-0.0035958249920304665	-0.01436722595844475		
dimethyl sulfoxide (%)	-0.6829375449758532	2.6321987707307484	-3.1233163693582774e-05	-0.008086978054389762		
dioxane (%)	2.584869660323293	4.12960545753794	-4.537729893654311e-05	-0.009575327982200128		
dithiothreitol (m)	2.164285519317303	4.310725720550216	-1.23877283077519e-06	-0.001516236134275915		
ethanol (%)	3.392568280570489	4.369711597819088	-3.94940679586821e-05	-0.008901013407252033		
ethylene glycol (%)	3.3605761455404775	4.294030262968136	-9.66264544165076e-05	-0.01416751441324482		
ethylenediaminetetraacetic acid (m)	1.3007094070296255	4.136154545153886	-1.3628848047658235e-06	-0.0016891691476355597		
glycerol (%)	3.683709704444862	4.465309416464441	-8.140136835123964e-05	-0.013071617350705427		
glycine (m)	2.13852406755085	3.791792730943121	-8.236547290412523e-05	-0.008717364717725705		
hepes (m)	3.31926122771268	4.580817683607931	-8.616651536016387e-05	-0.01299622318225657		
hexanediol (m)	0.5413532697175591	3.9505152139355433	-0.0315185914351644	-0.07113693207237205		
imidazole (m)	2.9232687384331326	4.157677116901593	-7.1483683392778e-05	-0.012027770686476986		
inhibitor (m)	-0.04293894545077783	3.077365382622862	-7.521353873251873e-05	-0.003960228990442421		
isopropanol (%)	3.3230798299310162	4.377684918752824	-6.403567477821026e-05	-0.011356096538793303		
jeffamine ed-2001 (%)	-0.2403683853893375	2.067645392957386	-0.03679583634606108	-0.09014596264852842		
jeffamine m600 (%)	1.6719668608262204	3.9977748023210014	-0.060730730609518634	-0.1340228707751069		
lithium chloride (m)	3.0467777900132673	4.281089525718106	-5.388990063561119e-05	-0.010397574864313018		
lithium sulfate (m)	3.659767015949581	4.54614953338462	-2.4927561886720776e-05	-0.007295726074883763		
magnesium acetate (m)	3.0695528591998666	4.376477998628731	-5.6956342380136966e-05	-0.010510686473611294		
magnesium chloride (m)	3.750416704057521	4.584288014307837	-1.7754110273914006e-05	-0.005980868024046704		
magnesium formate (m)	3.10624447506774	4.2937198590685135	-5.587959887692967e-05	-0.008732507215303918		
magnesium nitrate (m)	-1.9348404694933405	1.9643590469707632	-0.016182840444724414	-0.05650504117991195		
magnesium sulfate (m)	3.0496438004191075	4.075148751707379	-1.5242179812102352e-05	-0.005630245124982462		
malic acid (m)	2.762328610167828	4.16742642766533	-0.019216393201505668	-0.05263881785404715		
manganese chloride (m)	-0.6696404078505839	2.650924902235521	-5.6107182301981885e-06	-0.0033217049661962285		
mes (m)	3.54656047403162	4.422625109831202	-0.00013220226779342816	-0.016361744969730134		
mes imidazole (m)	2.5910233263797537	4.012307352161732	-0.020125237611560085	-0.10517777739148935		
mib (m)	1.2449875429500297	2.98379595010991	-0.07210306174027671	-0.21315830864292984		
mmt (m)	1.3043916914337055	3.149806693933454	-0.04845606414293995	-0.14671626680052216		
mops (m)	2.617089113325163	3.867900881111978	-0.00031766512097936456	-0.02502655279703907		
mpd (%)	3.0902843346589632	4.426332383250218	-7.46303352596998e-05	-0.012264274179286647		
nad (m)	-1.5510924043173704	2.015756560058001	-0.0036245358371046693	-0.010161223919981937		
nickel chloride (m)	2.4803152415169287	4.206768102938267	-0.0008491445292289118	-0.004061883033969045		
phosphate (m)	0.2785431392630809	3.127468808867535	-8.079128639299971e-05	-0.003494194260795825		
phosphate citrate (m)	1.2543322348239379	3.9201149997517653	-0.0018650344661639154	-0.06217670258099286		
pipes (m)	1.5699462537199789	3.850059587343464	-0.0024060379142726495	-0.030288496999211004		
potassium acetate (m)	1.9147387782352105	3.5488831815835358	-0.04787490742134303	-0.10130616839082525		
potassium bromide (m)	3.046156769934186	4.105693252703447	-0.02584071343340324	-0.07267948533990698		
potassium chloride (m)	2.3731677192593312	3.5688830170616366	-2.765220208472432e-05	-0.00708195216670896		
potassium formate (m)	1.1311725779314112	3.7927714273580473	-0.0471198764111034	-0.10521288419612843		
potassium iodide (m)	2.5515462287073776	4.165366966121862	-0.1854422970550372	-0.38461063864322537		
potassium nitrate (m)	1.6859634142428297	3.620929220350486	-0.06938893997328265	-0.1630594109260092		
potassium phosphate (m)	2.604916847354359	4.370313843865924	-1.8154218647983195e-05	-0.005914662633622941		
potassium thiocyanate (m)	3.31693746325237	4.4426597609274605	-0.0001278791950727641	-0.015831077089450467		
sodium acetate (m)	2.938516362819712	4.389787337753652	-1.3079695631833572e-05	-0.00509732580539615		
sodium azide (%)	1.7124587392890853	3.794047672129631	-4.194350168076874e-06	-0.0021876430202179887		
sodium bromide (m)	2.3204207904367737	4.005357515240401	-0.0005853455945410022	-0.007974044991535135		
sodium cacodylate (m)	3.6464455690717603	4.36233761490033	-0.0004905104725090577	-0.03186264093303662		
sodium chloride (m)	3.618272548728157	4.426739829662426	-6.3930652573708195e-06	-0.0035625933961465094		
sodium citrate (m)	3.4445647324253366	4.529284785666815	-1.627572801149931e-05	-0.005587178693281142		
sodium fluoride (m)	2.6829862195151097	3.911517399753506	-6.069029958929519e-05	-0.005183543487264308		
sodium formate (m)	2.7406228875815484	4.51940100003143	-9.996593431274468e-05	-0.014422166231692578		
sodium iodide (m)	1.937125196683144	3.4798288843976053	-0.000505134464315508	-0.011294784092552175		
sodium malonate (m)	2.596836398365325	4.485312766508723	-4.478265055975966e-05	-0.009469891294397141		
sodium nitrate (m)	1.7598038494399002	3.8979284185875147	-6.850926487704562e-05	-0.004394842294799661		
sodium phosphate (m)	2.819139906093601	4.307104685481872	-1.752410540861983e-05	-0.005955517262608195		
sodium potassium phosphate (m)	2.536699000585374	4.101956298128564	-5.875532322012977e-05	-0.01066519673413155		
sodium potassium tartrate (m)	2.9915708625197994	4.451147268834031	-8.364550754352782e-05	-0.013058376415599184		
sodium sulfate (m)	1.758378240202944	3.4743855104166332	-0.0002733867075381555	-0.007652043921590183		
sodium tartrate (m)	-2.4036865389364706	1.8940886263239927	-0.016458465727549765	-0.039336906537546734		
sodium thiocyanate (m)	2.376412279458856	3.662751000863536	-0.00020963637105773575	-0.014188764130674752		
spermine (m)	-0.08463766819006896	3.2244271411291017	-0.004402820463230686	-0.016327250125276332		
spg (m)	0.6258107579985207	3.2347180867572787	-0.07216086909734275	-0.18656590967936224		
succinic acid (m)	0.19371710020225902	2.7666260730397996	-0.017876697367366412	-0.04750343139155253		
sucrose (%)	1.903537145550541	3.94709336234664	-0.02571274050556166	-0.06375887853789577		
tacsimate (%)	2.4267077171299354	3.660489352134655	-2.118457441657094e-05	-0.006274775805254012		
tcep (m)	3.333106033014494	4.1591194960921545	-1.03262025195504e-05	-0.004467523542334094		
tris (m)	3.6163264897253034	4.5810251653437355	-8.28505295593671e-05	-0.013118652905837603		
tris bicine (m)	1.484884004283522	3.5767538845986064	-0.08014880437488307	-0.24160930006619896		
zinc acetate (m)	2.9682761480630195	4.213689750030996	-5.26082363074436e-05	-0.010046499188412635		
zinc chloride (m)	0.38910386799810565	3.576429186547238	-9.353842788949758e-06	-0.0023551990033158308		
zinc sulfate (m)	2.0097798639203885	3.9960152622138754	-1.8639589705809204e-05	-0.0015268949573665788		
mpeg (%)	1.2693330259827906	3.9402148536359536	-0.0003651906496684479	-0.0008132949491547879	-0.00036595036269705016	-0.0011044838322344492
peg mme (%)	3.489304695170799	4.4067754220884545	-1.4072416121023769e-08	-0.00016616038758602	-2.0168154603783152e-08	-0.0002006874651518643
peg (%)	3.3391294344269316	4.519784239802165	-2.811802966777471e-08	-0.00023443577114453325	-3.355575232991081e-08	-0.0002557060784463309
